id,amt_id,room_id,is_ready,last_active,timeout
50,A3NS1DN6J7Z3EU,25,f,2018-01-05 19:34:47.705303,t
117,A21H2UDDHN8ZF,60,f,2018-01-05 20:49:12.442015,f
101,A15781PHGW377Y,52,f,2018-01-05 20:37:17.05942,t
105,A29NA4283YJ26D,53,f,2018-01-05 20:37:36.166077,t
89,A31K4ASJODLAFM,44,f,2018-01-05 20:32:55.7581,f
86,A3FJCLBK3HF4PD,42,f,2018-01-05 20:32:24.072361,t
183,A3KEC9CE406TM0,91,f,2018-01-05 23:13:43.176783,t
132,A30MP4LXV4MIFD,67,f,2018-01-05 21:34:02.18282,f
119,A2F2DDH12YU4AK,61,f,2018-01-05 20:49:28.25979,f
93,A1H72Y9Z5NJXDS,45,f,2018-01-05 20:33:03.310726,f
81,A1F2MFSHXTGAVD,45,f,2018-01-05 20:33:03.613687,f
95,A2ONILC0LZKG6Y,46,f,2018-01-05 20:33:17.465786,f
76,A2CF2BD4Q0ZDJN,38,f,2018-01-05 20:31:31.020044,f
138,A2XFO0X6RCS98M,69,f,2018-01-05 22:57:18.01637,f
82,A2ZRXNYIRVSC9V,39,f,2018-01-05 20:31:39.44924,f
87,A1VZSFHTU51JP0,49,f,2018-01-05 20:34:28.207098,f
187,A1F1OZ54G177D8,93,f,2018-01-05 23:29:39.010471,t
83,AW0MG225VXWCN,40,f,2018-01-05 20:32:02.194152,f
123,A3SKEW89V5S0DI,63,f,2018-01-05 20:53:17.066651,f
112,A1RUURPQJ14A8X,55,f,2018-01-05 20:42:50.302517,f
122,A3774HPOUKYTX7,63,f,2018-01-05 20:53:16.772384,t
151,A3RR85PK3AV9TU,75,f,2018-01-05 22:58:19.957976,f
156,AZIDXMX2VZOTZ,77,f,2018-01-05 22:58:34.303314,f
113,A26RO8GGTQAXGG,57,f,2018-01-05 20:43:11.679666,t
152,A1ZT30BGR3266K,78,f,2018-01-05 22:58:46.517961,f
167,A2IFRY1FU6PYDU,84,f,2018-01-05 23:01:54.066661,f
175,A2RB4WF5CDMEL9,88,f,2018-01-05 23:08:31.757495,f
179,A360G5G0DVWU7X,89,f,2018-01-05 23:09:23.247963,f
171,A3G2FBKYCRD5Q8,85,f,2018-01-05 23:02:33.52734,f
170,AOQC2B77YF8ON,85,f,2018-01-05 23:02:34.130729,f
166,A2ETY1O927Z1IF,83,f,2018-01-05 23:00:45.676445,t
181,A2OO4PG3LBLP5I,90,f,2018-01-05 23:09:57.719898,t
177,A3N8JP3QR3VPE8,88,f,2018-01-05 23:08:31.849603,t
129,A26Y58YECZUZZG,66,f,2018-01-05 21:27:46.816969,f
185,A3ISDIYTS02E8C,92,f,2018-01-05 23:18:34.865288,f
173,A3KC26Z78FBOJT,87,f,2018-01-05 23:07:25.53774,f
169,A3EM25WEHB1Y9W,86,f,2018-01-05 23:05:01.517504,t
