,room,game,condition,first_player,move,agreement
12,13,19,partial,1,12,0.0
13,13,19,partial,1,13,1.0
14,13,19,partial,1,14,0.3333333333333333
0,15,5,partial,1,0,0.25
1,15,5,partial,1,1,0.3333333333333333
2,15,5,partial,1,2,0.5
3,15,5,partial,1,3,1.0
4,15,5,partial,1,4,0.0
5,15,5,partial,1,5,1.0
6,15,5,partial,1,6,1.0
7,15,5,partial,1,7,0.0
8,15,5,partial,1,8,0.0
9,15,5,partial,1,9,0.5
10,15,5,partial,1,10,0.0
11,15,5,partial,1,11,0.5
12,15,5,partial,1,12,0.0
13,15,5,partial,1,13,1.0
14,15,5,partial,1,14,0.5
0,19,19,partial,1,0,0.25
1,19,19,partial,1,1,1.0
2,19,19,partial,1,2,1.0
3,19,19,partial,1,3,1.0
4,19,19,partial,1,4,1.0
5,19,19,partial,1,5,1.0
6,19,19,partial,1,6,1.0
7,19,19,partial,1,7,1.0
8,19,19,partial,1,8,1.0
9,19,19,partial,1,9,1.0
10,19,19,partial,1,10,1.0
11,19,19,partial,1,11,1.0
12,19,19,partial,1,12,1.0
13,19,19,partial,1,13,1.0
14,19,19,partial,1,14,1.0
0,13,16,partial,0,0,0.25
1,13,16,partial,0,1,0.3333333333333333
2,13,16,partial,0,2,0.5
3,13,16,partial,0,3,0.0
4,13,16,partial,0,4,0.5
5,13,16,partial,0,5,1.0
6,13,16,partial,0,6,1.0
7,13,16,partial,0,7,0.0
8,13,16,partial,0,8,0.0
9,13,16,partial,0,9,0.0
10,13,16,partial,0,10,1.0
11,13,16,partial,0,11,1.0
12,13,16,partial,0,12,1.0
13,13,16,partial,0,13,0.0
14,13,16,partial,0,14,1.0
0,15,12,partial,0,0,0.25
1,15,12,partial,0,1,0.3333333333333333
2,15,12,partial,0,2,0.5
3,15,12,partial,0,3,1.0
4,15,12,partial,0,4,1.0
5,15,12,partial,0,5,0.0
6,15,12,partial,0,6,0.0
7,15,12,partial,0,7,0.0
8,15,12,partial,0,8,1.0
9,15,12,partial,0,9,1.0
10,15,12,partial,0,10,1.0
11,15,12,partial,0,11,0.0
12,15,12,partial,0,12,0.0
13,15,12,partial,0,13,0.0
14,15,12,partial,0,14,1.0
0,19,8,partial,0,0,0.25
1,19,8,partial,0,1,0.0
2,19,8,partial,0,2,0.0
3,19,8,partial,0,3,0.0
4,19,8,partial,0,4,0.0
5,19,8,partial,0,5,0.0
6,19,8,partial,0,6,1.0
7,19,8,partial,0,7,0.0
8,19,8,partial,0,8,1.0
9,19,8,partial,0,9,0.0
10,19,8,partial,0,10,1.0
11,19,8,partial,0,11,0.0
12,19,8,partial,0,12,1.0
13,19,8,partial,0,13,0.0
14,19,8,partial,0,14,1.0
0,13,13,partial,1,0,0.25
1,13,13,partial,1,1,0.3333333333333333
2,13,13,partial,1,2,0.0
3,13,13,partial,1,3,0.5
4,13,13,partial,1,4,0.0
5,13,13,partial,1,5,1.0
6,13,13,partial,1,6,0.0
7,13,13,partial,1,7,1.0
8,13,13,partial,1,8,1.0
