,arm,p,reward,exploit0,exploit1,chosen_arm,condition,game,move,player,room
2,3.0,1.0,0.3333333333333333,0.8095238095238095,0.8095238095238095,1,control,1,24,0,91
3,4.0,1.0,0.5,0.8095238095238095,0.8095238095238095,1,control,1,24,0,91
0,1.0,1.0,0.8181818181818182,0.8181818181818183,0.8181818181818183,1,control,1,25,1,91
1,2.0,1.0,0.25,0.8181818181818182,0.8181818181818182,1,control,1,25,1,91
2,3.0,1.0,0.3333333333333333,0.8181818181818181,0.8181818181818181,1,control,1,25,1,91
3,4.0,1.0,0.5,0.8181818181818182,0.8181818181818182,1,control,1,25,1,91
0,1.0,1.0,0.8260869565217391,0.8260869565217392,0.8260869565217392,1,control,1,26,0,91
1,2.0,1.0,0.25,0.8260869565217391,0.8260869565217391,1,control,1,26,0,91
2,3.0,1.0,0.3333333333333333,0.8260869565217391,0.8260869565217391,1,control,1,26,0,91
3,4.0,1.0,0.5,0.8260869565217391,0.8260869565217391,1,control,1,26,0,91
0,1.0,1.0,0.8333333333333334,0.8333333333333333,0.8333333333333333,1,control,1,27,1,91
1,2.0,1.0,0.25,0.8333333333333334,0.8333333333333334,1,control,1,27,1,91
2,3.0,1.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,1,control,1,27,1,91
3,4.0,1.0,0.5,0.8333333333333334,0.8333333333333334,1,control,1,27,1,91
0,1.0,1.0,0.8,0.8,0.8,1,control,1,28,0,91
1,2.0,1.0,0.25,0.8,0.8,1,control,1,28,0,91
2,3.0,1.0,0.3333333333333333,0.8,0.8,1,control,1,28,0,91
3,4.0,1.0,0.5,0.8,0.8,1,control,1,28,0,91
0,1.0,1.0,0.8076923076923077,0.8076923076923077,0.8076923076923077,1,control,1,29,1,91
1,2.0,1.0,0.25,0.8076923076923077,0.8076923076923077,1,control,1,29,1,91
2,3.0,1.0,0.3333333333333333,0.8076923076923077,0.8076923076923077,1,control,1,29,1,91
3,4.0,1.0,0.5,0.8076923076923077,0.8076923076923077,1,control,1,29,1,91
0,1.0,1.0,0.8148148148148148,0.8148148148148148,0.8148148148148148,1,control,1,30,0,91
1,2.0,1.0,0.25,0.8148148148148148,0.8148148148148148,1,control,1,30,0,91
2,3.0,1.0,0.3333333333333333,0.8148148148148148,0.8148148148148148,1,control,1,30,0,91
3,4.0,1.0,0.5,0.8148148148148148,0.8148148148148148,1,control,1,30,0,91
0,1.0,1.0,0.8214285714285714,0.8214285714285714,0.8214285714285714,1,control,1,31,1,91
1,2.0,1.0,0.25,0.8214285714285714,0.8214285714285714,1,control,1,31,1,91
2,3.0,1.0,0.3333333333333333,0.8214285714285714,0.8214285714285714,1,control,1,31,1,91
3,4.0,1.0,0.5,0.8214285714285714,0.8214285714285714,1,control,1,31,1,91
0,1.0,1.0,0.8275862068965517,0.8275862068965518,0.8275862068965518,1,control,1,32,0,91
1,2.0,1.0,0.25,0.8275862068965517,0.8275862068965517,1,control,1,32,0,91
2,3.0,1.0,0.3333333333333333,0.8275862068965517,0.8275862068965517,1,control,1,32,0,91
3,4.0,1.0,0.5,0.8275862068965517,0.8275862068965517,1,control,1,32,0,91
0,1.0,1.0,0.8,0.8,0.8,1,control,1,33,1,91
1,2.0,1.0,0.25,0.8,0.8,1,control,1,33,1,91
2,3.0,1.0,0.3333333333333333,0.8,0.8,1,control,1,33,1,91
3,4.0,1.0,0.5,0.8,0.8,1,control,1,33,1,91
0,1.0,1.0,0.8064516129032258,0.8064516129032258,0.8064516129032258,1,control,1,34,0,91
1,2.0,1.0,0.25,0.8064516129032258,0.8064516129032258,1,control,1,34,0,91
2,3.0,1.0,0.3333333333333333,0.8064516129032258,0.8064516129032258,1,control,1,34,0,91
3,4.0,1.0,0.5,0.8064516129032258,0.8064516129032258,1,control,1,34,0,91
0,1.0,1.0,0.8125,0.8125,0.8125,1,control,1,35,1,91
1,2.0,1.0,0.25,0.8125,0.8125,1,control,1,35,1,91
2,3.0,1.0,0.3333333333333333,0.8125,0.8125,1,control,1,35,1,91
3,4.0,1.0,0.5,0.8125,0.8125,1,control,1,35,1,91
0,1.0,1.0,0.7878787878787878,0.7878787878787878,0.7878787878787878,1,control,1,36,0,91
1,2.0,1.0,0.25,0.7878787878787878,0.7878787878787878,1,control,1,36,0,91
2,3.0,1.0,0.3333333333333333,0.7878787878787878,0.7878787878787878,1,control,1,36,0,91
3,4.0,1.0,0.5,0.7878787878787878,0.7878787878787878,1,control,1,36,0,91
0,1.0,1.0,0.7647058823529411,0.7647058823529412,0.7647058823529412,1,control,1,37,1,91
1,2.0,1.0,0.25,0.7647058823529411,0.7647058823529411,1,control,1,37,1,91
2,3.0,1.0,0.3333333333333333,0.7647058823529411,0.7647058823529411,1,control,1,37,1,91
3,4.0,1.0,0.5,0.7647058823529411,0.7647058823529411,1,control,1,37,1,91
